arg1,arg2,verb,sentence,verb_idx,label,lemma,pos,tag,dep,entity,entity_tag,chunk,knowledge,sentiment,sentiment_score
hill,,climb, Did you ever climb up the hill behind your house ?,3,0,  do -PRON- ever climb up the hill behind -PRON- house ?,SPACE AUX PRON ADV VERB ADP DET NOUN ADP DET NOUN PUNCT,_SP VBD PRP RB VB RP DT NN IN PRP$ NN ., aux nsubj advmod ROOT prt det dobj prep poss pobj punct,,"[(' ', '_SP', 'O'), ('Did', 'VBD', 'O'), ('you', 'PRP', 'O'), ('ever', 'RB', 'O'), ('climb', 'VB', 'O'), ('up', 'RP', 'O'), ('the', 'DT', 'O'), ('hill', 'NN', 'O'), ('behind', 'IN', 'O'), ('your', 'PRP$', 'O'), ('house', 'NN', 'O'), ('?', '.', 'O')]","[('you', 'NP', 'you'), ('the hill', 'NP', 'hill'), ('your house', 'NP', 'house')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1,  the scientist have to accommodate the new result with the exist theory .,SPACE DET NOUN AUX PART VERB DET ADJ NOUN ADP DET VERB NOUN PUNCT,_SP DT NNS VBD TO VB DT JJ NNS IN DT VBG NNS ., det nsubj ROOT aux xcomp det amod dobj prep det amod pobj punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('scientists', 'NNS', 'O'), ('had', 'VBD', 'O'), ('to', 'TO', 'O'), ('accommodate', 'VB', 'O'), ('the', 'DT', 'O'), ('new', 'JJ', 'O'), ('results', 'NNS', 'O'), ('with', 'IN', 'O'), ('the', 'DT', 'O'), ('existing', 'VBG', 'O'), ('theories', 'NNS', 'O'), ('.', '.', 'O')]","[(' The scientists', 'NP', 'scientists'), ('the new results', 'NP', 'results'), ('the existing theories', 'NP', 'theories')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
hand,,lock, He locked his hands around her neck .,1,1,  -PRON- lock -PRON- hand around -PRON- neck .,SPACE PRON VERB DET NOUN ADP DET NOUN PUNCT,_SP PRP VBD PRP$ NNS IN PRP$ NN ., nsubj ROOT poss dobj prep poss pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('locked', 'VBD', 'O'), ('his', 'PRP$', 'O'), ('hands', 'NNS', 'O'), ('around', 'IN', 'O'), ('her', 'PRP$', 'O'), ('neck', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('his hands', 'NP', 'hands'), ('her neck', 'NP', 'neck')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
man,,lighten," after a glass of wine , he lightened up a bit .",7,1,"  after a glass of wine , -PRON- lighten up a bit .",SPACE ADP DET NOUN ADP NOUN PUNCT PRON VERB ADP DET NOUN PUNCT,"_SP IN DT NN IN NN , PRP VBD RP DT NN .", prep det pobj prep pobj punct nsubj ROOT prt det npadvmod punct,,"[(' ', '_SP', 'O'), ('after', 'IN', 'O'), ('a', 'DT', 'O'), ('glass', 'NN', 'O'), ('of', 'IN', 'O'), ('wine', 'NN', 'O'), (',', ',', 'O'), ('he', 'PRP', 'O'), ('lightened', 'VBD', 'O'), ('up', 'RP', 'O'), ('a', 'DT', 'O'), ('bit', 'NN', 'O'), ('.', '.', 'O')]","[('a glass', 'NP', 'glass'), ('wine', 'NP', 'wine'), ('he', 'NP', 'he')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
vision,,sharpen, This drug will sharpen your vision .,3,1,  this drug will sharpen -PRON- vision .,SPACE DET NOUN VERB VERB DET NOUN PUNCT,_SP DT NN MD VB PRP$ NN ., det nsubj aux ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('This', 'DT', 'O'), ('drug', 'NN', 'O'), ('will', 'MD', 'O'), ('sharpen', 'VB', 'O'), ('your', 'PRP$', 'O'), ('vision', 'NN', 'O'), ('.', '.', 'O')]","[(' This drug', 'NP', 'drug'), ('your vision', 'NP', 'vision')]",none,neutral,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.25}"
life,,inject, He injected new life into the performance .,1,1,  -PRON- inject new life into the performance .,SPACE PRON VERB ADJ NOUN ADP DET NOUN PUNCT,_SP PRP VBD JJ NN IN DT NN ., nsubj ROOT amod dobj prep det pobj punct,,"[(' ', '_SP', 'O'), ('He', 'PRP', 'O'), ('injected', 'VBD', 'O'), ('new', 'JJ', 'O'), ('life', 'NN', 'O'), ('into', 'IN', 'O'), ('the', 'DT', 'O'), ('performance', 'NN', 'O'), ('.', '.', 'O')]","[(' He', 'NP', 'He'), ('new life', 'NP', 'life'), ('the performance', 'NP', 'performance')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
candidate,,rip, The candidate ripped into his opponent mercilessly .,2,1,  the candidate rip into -PRON- opponent mercilessly .,SPACE DET NOUN VERB ADP DET NOUN ADV PUNCT,_SP DT NN VBD IN PRP$ NN RB ., det nsubj ROOT prep poss pobj advmod punct,,"[(' ', '_SP', 'O'), ('The', 'DT', 'O'), ('candidate', 'NN', 'O'), ('ripped', 'VBD', 'O'), ('into', 'IN', 'O'), ('his', 'PRP$', 'O'), ('opponent', 'NN', 'O'), ('mercilessly', 'RB', 'O'), ('.', '.', 'O')]","[(' The candidate', 'NP', 'candidate'), ('his opponent', 'NP', 'opponent')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
surface,,map, map the surface of Venus .,0,0,  map the surface of Venus .,SPACE VERB DET NOUN ADP PROPN PUNCT,_SP VB DT NN IN NNP ., ROOT det dobj prep pobj punct,Venus,"[(' ', '_SP', 'O'), ('map', 'VB', 'O'), ('the', 'DT', 'O'), ('surface', 'NN', 'O'), ('of', 'IN', 'O'), ('Venus', 'NNP', 'B-LOC'), ('.', '.', 'O')]","[('the surface', 'NP', 'surface'), ('Venus', 'NP', 'Venus')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
refrigerator,,raid, Our babysitter raided our refrigerator .,2,1,  -PRON- babysitter raid -PRON- refrigerator .,SPACE DET NOUN VERB DET NOUN PUNCT,_SP PRP$ NN VBD PRP$ NN ., poss nsubj ROOT poss dobj punct,,"[(' ', '_SP', 'O'), ('Our', 'PRP$', 'O'), ('babysitter', 'NN', 'O'), ('raided', 'VBD', 'O'), ('our', 'PRP$', 'O'), ('refrigerator', 'NN', 'O'), ('.', '.', 'O')]","[(' Our babysitter', 'NP', 'babysitter'), ('our refrigerator', 'NP', 'refrigerator')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
castle,,inherit, I inherited a castle from my French grandparents .,1,0,  -PRON- inherit a castle from -PRON- french grandparent .,SPACE PRON VERB DET NOUN ADP DET ADJ NOUN PUNCT,_SP PRP VBD DT NN IN PRP$ JJ NNS ., nsubj ROOT det dobj prep poss amod pobj punct,French,"[(' ', '_SP', 'O'), ('I', 'PRP', 'O'), ('inherited', 'VBD', 'O'), ('a', 'DT', 'O'), ('castle', 'NN', 'O'), ('from', 'IN', 'O'), ('my', 'PRP$', 'O'), ('French', 'JJ', 'B-NORP'), ('grandparents', 'NNS', 'O'), ('.', '.', 'O')]","[(' I', 'NP', 'I'), ('a castle', 'NP', 'castle'), ('my French grandparents', 'NP', 'grandparents')]",none,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
