id,sentence,word,label,predict
a3m-fragment02_45_3,"""Design : Crossed lines over the toytown tram : City transport could soon be back on the right track ""[SEP]""Crossed""[SEP]""VERB""[SEP]""VBN""",Crossed,1,0
a3m-fragment02_45_21,""" says Jonathan Glancey""[SEP]""says""[SEP]""VERB""[SEP]""VBZ""",says,0,0
a3m-fragment02_47_8,""" as most continental Europeans know ""[SEP]""know""[SEP]""VERB""[SEP]""VB""",know,0,0
a3m-fragment02_47_11,""" neither shake nor rattle ""[SEP]""shake""[SEP]""VERB""[SEP]""VB""",shake,0,0
a3m-fragment02_47_13,""" neither shake nor rattle ""[SEP]""rattle""[SEP]""VERB""[SEP]""VB""",rattle,0,0
a3m-fragment02_47_18,""" nor do they roll .""[SEP]""roll""[SEP]""NOUN""[SEP]""NN""",roll,0,1
a3m-fragment02_48_4,""" solidly built ""[SEP]""built""[SEP]""VERB""[SEP]""VBN""",built,0,0
a3m-fragment02_49_3,"""They also exert a fascination very much of their own as they slither round circuses and brush through old city gates ""[SEP]""exert""[SEP]""VERB""[SEP]""VB""",exert,1,1
a3m-fragment02_49_13,"""They also exert a fascination very much of their own as they slither round circuses and brush through old city gates ""[SEP]""slither""[SEP]""VERB""[SEP]""VB""",slither,1,1
a3m-fragment02_49_23,""" flashing arcs of lightning as they switch tracks on winter nights .""[SEP]""flashing""[SEP]""VERB""[SEP]""VBG""",flashing,0,1
a3m-fragment02_49_29,""" flashing arcs of lightning as they switch tracks on winter nights .""[SEP]""switch""[SEP]""VERB""[SEP]""VB""",switch,0,1
a3m-fragment02_50_20,""" trams are one of the most reliable and enduring forms of public transport invented .""[SEP]""invented""[SEP]""VERB""[SEP]""VBN""",invented,0,0
a3m-fragment02_52_5,"""Eventually they will be replaced ""[SEP]""replaced""[SEP]""VERB""[SEP]""VBN""",replaced,0,1
a3m-fragment02_52_14,""" but more than 60 years on they run with the rhythmic reliability of a Swiss watch .""[SEP]""run""[SEP]""VERB""[SEP]""VB""",run,1,1
a3m-fragment02_54_5,"""Last month it was announced that Britain will get its first new-wave trams in 1991 .""[SEP]""announced""[SEP]""VERB""[SEP]""VBN""",announced,0,0
a3m-fragment02_54_9,"""Last month it was announced that Britain will get its first new-wave trams in 1991 .""[SEP]""get""[SEP]""AUX""[SEP]""VB""",get,1,1
a3m-fragment02_55_1,"""Destined to run in Manchester ""[SEP]""Destined""[SEP]""VERB""[SEP]""VBN""",Destined,1,1
a3m-fragment02_55_3,"""Destined to run in Manchester ""[SEP]""run""[SEP]""VERB""[SEP]""VB""",run,1,1
a3m-fragment02_55_9,""" they will relieve traffic congestion and help to reduce the levels of carbon monoxide in the city centre ""[SEP]""relieve""[SEP]""VERB""[SEP]""VB""",relieve,1,0
