arg1,arg2,verb,sentence,verb_idx,label
hill,,climb, Did you ever climb up the hill behind your house ?,3,0
result,,accommodate, The scientists had to accommodate the new results with the existing theories .,4,1
hand,,lock, He locked his hands around her neck .,1,1
man,,lighten," after a glass of wine , he lightened up a bit .",7,1
vision,,sharpen, This drug will sharpen your vision .,3,1
life,,inject, He injected new life into the performance .,1,1
candidate,,rip, The candidate ripped into his opponent mercilessly .,2,1
surface,,map, map the surface of Venus .,0,0
refrigerator,,raid, Our babysitter raided our refrigerator .,2,1
castle,,inherit, I inherited a castle from my French grandparents .,1,0
crisis,,precipitate, The crisis precipitated by Russia 's revolution .,2,1
fear,,seize, Fear seized the prisoners .,1,1
bullet,,pump, He pumped bullets into the dummy .,1,1
tear,,gutter, Tears guttered down her face .,1,1
building,,crown, A weather vane crowns the building .,3,1
state,,tax, The State taxes alcohol heavily .,2,0
suspense,,build, Suspense was building right from the beginning of the opera .,2,1
sound,,reflect, Sound is reflected well in this auditorium .,2,0
pilot,,kite, The pilot kited for a long time over the mountains .,2,0
fate,,lie, The fate of Bosnia lies in the hands of the West .,4,1
ambition,,dash, dashed ambitions and hopes .,0,1
poison,,suck, suck the poison from the place where the snake bit .,0,0
relative,,visit," Every summer , we visited our relatives in the country for a month .",4,0
plan,,condense, Congress condensed the three - year plan into a six - month plan .,1,1
bus,,thunder, The bus thundered down the road .,2,1
problem,,inherit, The new chairman inherited many problems from the previous chair .,3,1
letter,,trench, letters trenched into the stone .,1,0
hatred,,ignite, The ostentatious way of living of the rich ignites the hatred of the poor .,8,1
food,,bolt, Do n't bolt your food !,2,1
pillow,,stuff, stuff a pillow with feathers .,0,0
way,,claw, They clawed their way to the top of the mountain .,1,1
security,,negociate, negociate securities .,0,0
star,,flare, Every star seemed to flare with new intensity .,4,1
job,,juggle, She had to juggle her job and her children .,3,1
foundation,,lay, lay the foundation for a new health care plan .,0,1
garbage,,flush, The garbage flushed down the river .,2,0
charge,,inflate, The charges were inflated .,3,1
water,,form, the water formed little beads .,2,0
air,,condense, The cold air condensed the steam .,3,0
teacher,,nod, The teacher nodded when the student gave the right answer .,2,0
sweat,,stream, She was streaming with sweat .,2,1
resistance,,melt, her resistance melted under his charm .,2,1
people,,ruffle, This play is going to ruffle some people .,5,1
lava,,gutter, The cooling lava continued to gutter toward lower ground .,5,0
message,,communicate, Please communicate this message to all employees .,1,0
sale,,climb, Sales were climbing after prices were lowered .,2,1
mistress,,paint, He painted his mistress many times .,1,0
foot,,bind, The Chinese would bind the feet of their women .,3,0
voltage,,boost, Boost the voltage in an electrical circuit .,0,0
glucose,,inject, We injected the glucose into the patient 's vein .,1,0
seed,,sow, She sowed sunflower seeds .,1,0
soldier,,sift, The soldiers sifted through the woods .,2,1
mess,,reflect, The mess in his dorm room reflects on the student .,6,1
face,,glow, Her face glowed when she came out of the sauna .,2,1
